codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43007,17.1,50.0,2,2025,17
43007,17.17,0.0,1,2024,17
43007,2.2,60.96875,1,2024,2
43007,2.3,79.4291338575,4,2025,2
43007,2.4,12.38636364,1,2024,2
43007,3.4,52.69940142,2,2024,3
43007,3.6,100.0,1,2023,3
43007,3.8,79.525042665,2,2024,3
43007,3.b,14.006922,1,2024,3
43007,4.a,100.0,1,2024,4
43007,5.1,100.0,1,2025,5
43007,5.5,76.2,1,2023,5
43007,5.c,76.70234037,2,2025,5
43007,6.4,100.0,1,2024,6
43007,7.1,83.4078899,1,2023,7
43007,7.3,94.13521739,1,2024,7
43007,8.2,95.38,1,2025,8
43007,8.3,61.77652568666667,3,2025,8
43007,8.5,87.85122120666666,3,2025,8
43007,8.9,17.43741859,1,2024,8
43007,9.2,0.0,1,2025,9
43007,9.5,0.0,1,2025,9
43007,9.c,54.63753846,1,2024,9
43008,1.2,0.0,1,2023,1
43008,1.3,100.0,1,2024,1
43008,1.5,100.0,1,2024,1
43008,10.1,50.51139005000001,3,2023,10
43008,10.2,0.0,1,2025,10
43008,11.2,53.753072947999996,2,2023,11
43008,11.3,95.333644425,2,2024,11
43008,11.4,58.88205063,1,2025,11
43008,11.7,28.0745675,1,2024,11
43008,12.5,72.612368955,2,2024,12
43008,12.b,77.52941176,1,2025,12
43008,13.2,0.0,1,2022,13
43008,15.1,100.0,2,2024,15
43008,15.2,99.83592697,1,2024,15
43008,16.6,0.0,1,2024,16
43008,16.7,100.0,1,2023,16
43008,17.1,76.87091692999999,2,2025,17
43008,17.17,0.0,1,2024,17
43008,2.3,59.6156303175,4,2025,2
43008,2.4,53.2155687585,2,2024,2
43008,3.6,100.0,1,2023,3
43008,4.a,100.0,1,2024,4
43008,5.1,100.0,1,2025,5
43008,5.5,100.0,1,2023,5
43008,5.c,64.728066645,2,2025,5
43008,6.4,100.0,1,2024,6
43008,7.1,67.25424846,1,2023,7
43008,7.3,77.99,1,2024,7
43008,8.2,7.32,1,2025,8
43008,8.3,80.09288520000001,2,2025,8
43008,8.5,65.56295114,3,2025,8
43008,8.9,100.0,1,2024,8
43008,9.2,100.0,1,2025,9
43008,9.5,0.0,1,2025,9
43008,9.c,43.50015385,1,2024,9
43009,1.1,76.02739726,1,2023,1
43009,1.2,46.07766484,2,2023,1
43009,1.3,100.0,1,2024,1
43009,1.4,45.83359167,1,2024,1
43009,1.5,19.82046738,1,2024,1
43009,10.1,52.60344025999999,3,2023,10
43009,10.2,60.203389853333334,3,2025,10
43009,10.4,81.33903133999999,2,2023,10
43009,11.1,68.638078,1,2025,11
43009,11.2,53.291690062,2,2023,11
43009,11.3,94.63890779,2,2024,11
43009,11.4,21.15653493,1,2025,11
43009,11.7,25.17555357,1,2024,11
43009,12.5,42.57132793,2,2024,12
43009,12.b,88.11764706,1,2025,12
43009,13.2,0.0,1,2022,13
43009,15.1,48.226193030000005,2,2024,15
43009,15.2,92.16971543,1,2024,15
43009,16.6,0.0,1,2024,16
43009,16.7,100.0,1,2023,16
43009,17.1,50.0,2,2025,17
43009,17.17,0.0,1,2024,17
43009,2.3,57.7708566205,4,2025,2
43009,2.4,8.16822086545,2,2024,2
43009,3.6,100.0,1,2023,3
43009,4.1,41.39941691,1,2023,4
43009,4.3,90.345095,1,2023,4
43009,4.4,14.702451246014999,2,2023,4
43009,4.5,94.21052632,1,2023,4
43009,4.a,100.0,1,2024,4
43009,5.1,100.0,1,2025,5
43009,5.5,81.46666667,1,2023,5
43009,5.c,84.71094467,2,2025,5
43009,6.4,100.0,1,2024,6
43009,7.1,79.30199845,1,2023,7
43009,7.3,100.0,1,2024,7
43009,8.2,100.0,1,2025,8
43009,8.3,86.42781110333333,3,2025,8
43009,8.5,68.67460163333334,3,2025,8
43009,8.9,31.75433814,1,2024,8
43009,9.2,100.0,1,2025,9
43009,9.5,21.23679497,1,2025,9
43009,9.c,61.13030769,1,2024,9
43010,1.1,76.88356164,1,2023,1
43010,1.2,46.468595255,2,2023,1
43010,1.3,100.0,1,2024,1
43010,1.5,82.69654195,1,2024,1
43010,10.1,55.52649930333333,3,2023,10
43010,10.2,50.0,2,2025,10
43010,10.4,88.354700855,2,2023,10
43010,11.1,87.75797041,1,2021,11
43010,11.2,56.596648025,2,2023,11
43010,11.3,93.527284975,2,2024,11
43010,11.4,39.54586147,1,2025,11
43010,11.7,82.28757326,1,2024,11
43010,12.5,51.5864168415,2,2024,12
43010,12.b,100.0,1,2025,12
43010,13.2,94.72933669,1,2022,13
43010,15.1,3.198254364,2,2024,15
43010,15.2,53.82626612,1,2024,15
43010,16.6,2.276634246,1,2024,16
43010,16.7,100.0,1,2023,16
43010,17.1,67.24863906,2,2025,17
43010,17.17,0.0,1,2024,17
43010,2.3,43.7373753375,4,2025,2
43010,2.4,21.365712430000002,2,2024,2
43010,3.6,100.0,1,2023,3
43010,4.a,100.0,1,2024,4
43010,5.1,100.0,1,2025,5
43010,5.5,100.0,1,2023,5
43010,5.c,82.365112665,2,2025,5
43010,6.4,100.0,1,2024,6
43010,7.1,79.82030389,1,2023,7
43010,7.3,95.26217391,1,2024,7
43010,8.2,1.52,1,2025,8
43010,8.3,65.18678161000001,3,2025,8
43010,8.5,74.94383137,3,2025,8
43010,9.2,100.0,1,2025,9
43010,9.5,93.330033645,2,2025,9
43010,9.c,96.07846154,1,2024,9
43011,1.1,86.72945205,1,2023,1
43011,1.2,90.35704978,2,2023,1
43011,1.3,100.0,1,2024,1
43011,10.1,80.5032543,3,2023,10
43011,10.2,79.88258842333333,3,2025,10
43011,10.4,100.0,2,2023,10
43011,11.1,100.0,1,2024,11
43011,11.2,58.263148045,2,2023,11
43011,11.3,88.587179965,2,2024,11
43011,11.4,0.4765199691,1,2025,11
43011,11.6,32.0,2,2023,11
43011,11.7,100.0,1,2024,11
43011,12.5,100.0,2,2024,12
43011,12.b,82.35294118,1,2025,12
43011,13.2,96.70046769,1,2022,13
43011,15.1,35.617206985,2,2024,15
43011,15.2,50.48688196,1,2024,15
43011,16.6,15.25446732,1,2024,16
43011,16.7,100.0,1,2023,16
43011,17.1,60.937462935,2,2025,17
43011,17.17,0.0,1,2024,17
43011,2.3,63.78817567275,4,2025,2
43011,2.4,16.3051594205,2,2024,2
43011,3.6,100.0,1,2023,3
43011,4.1,62.44211971,1,2023,4
43011,4.3,92.74912757,1,2023,4
43011,4.4,34.0033068285,2,2023,4
43011,4.5,100.0,1,2023,4
43011,4.a,100.0,1,2024,4
43011,5.1,100.0,1,2025,5
43011,5.5,44.43333333,1,2023,5
43011,5.c,100.0,2,2025,5
43011,6.4,99.93128049,1,2024,6
43011,7.1,98.26006514,1,2023,7
43011,7.3,82.66347826,1,2024,7
43011,8.2,100.0,1,2025,8
43011,8.3,88.83550822333332,3,2025,8
43011,8.5,91.36319245,3,2025,8
43011,8.9,11.51729936,1,2024,8
43011,9.2,20.68217489,1,2025,9
43011,9.5,31.05720614,1,2025,9
43011,9.c,100.0,1,2024,9
43012,1.1,73.03082192,1,2023,1
43012,1.2,81.99805397333334,3,2023,1
43012,1.3,100.0,1,2024,1
43012,1.4,8.786967574,1,2024,1
43012,10.1,44.47649345333334,3,2023,10
43012,10.2,47.37067454566667,3,2025,10
43012,10.4,85.96866097,2,2023,10
43012,11.1,70.16694136,1,2025,11
43012,11.2,73.31738398,2,2023,11
43012,11.3,82.244704155,2,2024,11
43012,11.4,0.0007149060419,1,2025,11
43012,11.6,75.33333333499999,2,2023,11
43012,11.7,64.73701666,1,2024,11
43012,12.5,17.50968651,2,2024,12
43012,12.b,71.94117647,1,2025,12
43012,13.2,95.95718969,1,2022,13
43012,14.1,66.66666666666667,3,2025,14
43012,15.1,15.54327259185,2,2024,15
43012,15.2,0.2598333589,1,2024,15
43012,16.6,41.62519792,1,2024,16
43012,16.7,100.0,1,2023,16
43012,17.1,77.01887836,2,2025,17
43012,17.17,0.0,1,2024,17
43012,2.3,34.117439221875,4,2025,2
43012,2.4,0.0,2,2024,2
43012,3.6,100.0,1,2023,3
43012,4.1,64.27713943,1,2023,4
43012,4.3,78.82900349,1,2023,4
43012,4.4,34.5879422345,2,2023,4
43012,4.5,100.0,1,2023,4
