codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43051,4,69.77750859333334,12,2025
43051,5,57.30684907285714,7,2025
43051,6,91.37808188,2,2024
43052,1,28.183990121875,8,2025
43052,2,61.873590905,8,2025
43052,3,55.26198352944444,9,2025
43052,4,58.774980302500005,12,2025
43052,5,44.87008044,7,2025
43052,6,42.76553846,2,2024
43053,1,42.12740701,8,2025
43053,2,65.14586370666666,6,2025
43053,3,66.07268291111112,9,2025
43053,4,81.36940760083333,12,2025
43053,5,70.05736342428573,7,2025
43053,6,50.2498753675,2,2024
43054,1,32.08824478142857,7,2025
43054,2,76.21788700625001,8,2025
43054,3,66.30923937777779,9,2025
43054,4,73.6463997975,12,2025
43054,5,56.551955329428566,7,2025
43054,6,50.0,2,2024
43055,1,55.64022887025,8,2025
43055,2,69.31782793625,8,2025
43055,3,63.56628534577778,9,2025
43055,4,74.66426886916666,12,2025
43055,5,65.30876189714286,7,2025
43055,6,51.510291789,2,2024
43056,1,46.56665340125,8,2025
43056,2,78.79914332,8,2025
43056,3,72.28626537222222,9,2025
43056,4,73.35247417166666,12,2025
43056,5,56.05939401,7,2025
43056,6,50.0,2,2024
43057,1,61.333410657499996,8,2025
43057,2,68.637931034,5,2025
43057,3,90.71120689625,8,2025
43057,4,66.37107310454546,11,2025
43057,5,41.63121074428572,7,2025
43057,6,50.0,2,2024
43058,1,56.12186497125,8,2025
43058,2,75.17939563,6,2025
43058,3,89.96884352111111,9,2025
43058,4,76.10487797416667,12,2025
43058,5,54.86186229485714,7,2025
43058,6,33.37753846,2,2024
43059,1,48.76054427375,8,2025
43059,2,73.14627396166667,6,2025
43059,3,71.20344860555556,9,2025
43059,4,64.09306214166666,12,2025
43059,5,44.10389545428571,7,2025
43059,6,35.846153845,2,2024
43060,1,28.176550449000004,8,2025
43060,2,59.10446691,8,2025
43060,3,49.197212990999994,9,2025
43060,4,65.04509115691667,12,2025
43060,5,40.76298040471429,7,2025
43060,6,49.4811730185,2,2024
43061,1,50.803590255535,8,2025
43061,2,39.344984396,5,2025
43061,3,53.659971023035,8,2025
43061,4,53.20943852181818,11,2025
43061,5,58.178105800000004,7,2025
43061,6,44.580384615,2,2024
43062,1,42.859419545,8,2025
