codigo_ine,ods_objetivo,promedio_metas,n_metas
43030,2,31.85643606,2
43030,3,100.0,1
43030,4,50.31664251297,5
43030,5,55.095266005000006,3
43030,6,100.0,1
43030,7,74.582199765,2
43030,8,58.51511786458334,4
43030,9,39.57142767,3
43031,1,72.45081113875,4
43031,10,75.49921499222222,3
43031,11,48.666718005,5
43031,12,68.6734114125,2
43031,13,68.22748759,1
43031,15,36.977639785,2
43031,16,51.555530423,2
43031,17,20.12460843,2
43031,2,32.321090953416665,3
43031,3,70.36488948625001,4
43031,4,100.0,1
43031,5,93.34623740833332,3
43031,6,100.0,1
43031,7,77.3957096,2
43031,8,61.71744657758333,4
43031,9,67.63145605,3
43032,1,61.818162401666676,3
43032,10,51.73786551833333,3
43032,11,52.65772229875,4
43032,12,82.43712948999999,2
43032,13,97.4798534,1
43032,15,75.52870415,2
43032,16,50.0,2
43032,17,31.2526547075,2
43032,2,54.680528162499996,2
43032,3,100.0,1
43032,4,57.8516856149,5
43032,5,88.80108069166666,3
43032,6,100.0,1
43032,7,66.577655015,2
43032,8,80.05805126083334,4
43032,9,63.579227796666665,3
43033,1,63.349190147,4
43033,10,79.90878133777778,3
43033,11,44.6460565828,5
43033,12,87.58496396999999,2
43033,13,97.22710407,1
43033,15,32.49752879725,2
43033,16,50.0,2
43033,17,18.3688000425,2
43033,2,48.565728559166665,3
43033,3,75.98245274125,4
43033,4,63.227630727199994,5
43033,5,92.71498044666667,3
43033,6,100.0,1
43033,7,52.76078553000001,2
43033,8,67.97765659916666,4
43033,9,66.03685795,3
43034,1,53.1942042322,5
43034,10,66.48205232833334,3
43034,11,49.127435677799994,5
43034,12,84.4908602925,2
43034,13,0.0,1
43034,15,35.389613042200004,2
43034,16,50.0,2
43034,17,19.732830576025,2
43034,2,39.67756465125,2
43034,3,100.0,1
43034,4,68.29982241876,5
43034,5,93.19287857,3
43034,6,100.0,1
43034,7,34.928328115,2
43034,8,46.34135646775,4
43034,9,57.595712479999996,3
43035,1,43.652445195,2
43035,10,36.6992233405,2
43035,11,47.517573267,5
43035,12,86.4132688075,2
43035,13,63.75028337,1
43035,15,93.3366136825,2
43035,16,50.0,2
43035,17,25.0,2
43035,2,56.93193349875,2
43035,3,100.0,1
43035,4,100.0,1
43035,5,85.00859592666667,3
43035,6,100.0,1
43035,7,71.973663155,2
43035,8,57.15570452875,4
43035,9,53.57293243,3
43036,1,32.216551022,4
43036,10,58.306457951111106,3
43036,11,56.86131997796,5
43036,12,65.24314276999999,2
43036,13,88.86304898,1
43036,15,61.7954456825,2
43036,16,60.00859534,2
43036,17,23.39433561,2
43036,2,24.249930690750002,2
43036,3,100.0,1
43036,4,52.61009162493,5
43036,5,57.870533556666665,3
43036,6,100.0,1
43036,7,28.86536659,2
43036,8,54.62778929520933,4
43036,9,44.66005722666667,3
43037,1,56.307494840000004,4
43037,10,47.25756824777778,3
43037,11,27.441919373,5
43037,12,53.423601902499996,2
43037,13,75.69647806,1
43037,14,60.0,1
43037,15,8.762383145,2
43037,16,57.29341039125,4
43037,17,37.3176853275,2
43037,2,17.22614802475,2
43037,3,88.58533541177776,6
43037,4,59.912593730058326,6
43037,5,65.91691622666667,3
43037,6,40.619822634,2
43037,7,77.649011625,2
43037,8,73.66360679281667,4
43037,9,50.37956590416667,3
43038,1,61.06500613083333,4
43038,10,55.34788389944444,3
43038,11,30.7283730182,5
43038,12,44.1238181485,2
43038,13,58.81468482,1
43038,14,46.666666666666664,1
43038,15,0.21626901075,2
43038,16,58.7319087025,4
43038,17,30.8404225197,3
43038,2,18.885790310999997,2
43038,3,60.46094633822222,6
43038,4,56.186275986625,6
43038,5,80.57527518500001,3
43038,6,60.808368665,2
43038,7,77.99978039,2
43038,8,80.76001274291667,4
43038,9,50.12815323566667,3
43039,1,100.0,1
43039,10,75.76733464333333,2
43039,11,82.00447576875,4
43039,12,66.96502495749999,2
43039,13,39.93032604,1
43039,15,99.10547173500001,2
43039,16,50.0,2
43039,17,42.32096403,2
43039,2,25.842651512,2
43039,3,100.0,1
43039,5,71.516781215,3
43039,6,100.0,1
43039,7,69.99724803000001,2
43039,8,68.9166532825,4
43039,9,25.490205126666666,3
43040,1,62.180157460000004,2
43040,10,43.71801360333333,2
43040,11,53.42046816125,4
43040,12,94.00079417500001,2
43040,13,79.35296357,1
43040,15,96.80782313499999,2
43040,16,50.0,2
43040,17,25.0,2
43040,2,53.569788976249995,2
43040,3,100.0,1
43040,4,100.0,1
43040,5,91.85833333333333,3
43040,6,100.0,1
43040,7,83.43316339500001,2
43040,8,59.05100519375,4
43040,9,66.66666666666667,3
43041,1,44.44444444,1
43041,10,32.196470545000004,2
43041,11,71.17648607325,4
43041,12,61.9796675075,2
43041,13,79.17713166,1
43041,15,69.39224243275,2
43041,16,50.0,2
43041,17,31.6198407025,2
43041,2,50.41401806625,2
43041,3,100.0,1
43041,4,100.0,1
43041,5,80.12212643666668,3
43041,6,91.0299238,1
43041,7,75.54735185999999,2
43041,8,60.377339365833336,4
